,Mean Cyclomatic Complexity,Mean Maintainability Index,Mean Parameter Count,Sum Files,Sum Functions,Sum Halstead Bugs,Sum Halstead Difficulty,Sum Halstead Effort,Sum Halstead Time,Sum Halstead Volume,Sum Logical SLOC,Sum Physical SLOC
js,2.5714285714285716,136.85899449478876,0.3374149659863946,7,26,2.195600843678187,69.3304131749847,77268.66195672737,4292.70344204041,6586.802531034562,218,423
todomvc-common,28.0,108.03502156530482,1.3333333333333333,1,15,1.9817334730586578,35.53846153846153,211283.2764353307,11737.959801962817,5945.200419175973,135,217
bower_components,28.0,108.03502156530482,1.3333333333333333,1,15,1.9817334730586578,35.53846153846153,211283.2764353307,11737.959801962817,5945.200419175973,135,217
derby,8.0,129.51308379900348,0.8333333333333333,4,19,2.1332743754145023,47.22081447963801,213132.4958865823,11840.694215921238,6399.8231262435065,153,245
socketstream,6.25,142.79272132996758,1.009259259259259,4,36,2.8581014283151953,74.58878498058404,408045.9853466393,22669.221408146626,8574.304284945587,179,287
sapui5,7.571428571428571,121.57894536479395,0.7099388706531563,7,66,5.612710049651856,129.27452665444793,446160.0039090345,24786.666883835245,16838.13014895557,403,678
f,40.0,120.23533377048871,1.0915343915343916,3,74,8.507272008152468,182.47476727094562,2196903.3537307302,122050.18631837392,25521.816024457403,472,650
meteor,64.33333333333333,118.11913210552554,0.9816091954022989,3,104,12.67727254066745,209.37612387612387,4232339.9667481,235129.9981526722,38031.81762200235,766,1151
mithril,35.875,116.97148733817693,0.8129650297619047,8,106,17.367941312128163,279.3882322564252,5476115.6149605485,304228.64527558605,52103.823936384506,987,1194
duel,82.4,116.34076241032251,1.2006093839693044,5,226,26.05518182589438,325.77588614933074,8134135.9779260615,451896.44321811455,78165.54547768315,1633,2195
olives,30.11764705882353,124.24672384114172,1.5186259354990264,17,475,38.493209723191335,625.5561818479845,10256431.119644118,569801.7288691177,115479.62916957395,2561,6905
puremvc,22.75,120.40957974583512,0.7893787506819422,16,320,31.148669915947263,640.8822135737805,10264748.053738806,570263.780763267,93446.00974784177,1915,4139
maria,26.2,132.97818694912206,0.5175661375661377,15,276,29.199653733193784,470.0131898268483,10962250.613805419,609013.92298919,87598.96119958136,1722,4933
exoskeleton,43.4,122.24199082558084,0.6473856209150326,10,232,28.904475419587992,382.77308567848456,12383427.126437876,687968.1736909931,86713.42625876397,1655,2768
somajs,67.2,123.62286290493061,1.0630841638981172,10,341,43.751141031858836,543.3652191107401,17704094.007797394,983560.7782109663,131253.42309557652,2550,3746
vanillajs,37.54545454545455,121.6226372007065,0.9275613563733809,11,484,48.974816645080224,572.3033196506002,19110120.883672778,1061673.3824262654,146924.44993524067,2619,4822
cujo,10.193181818181818,128.7836464405303,1.257473814838534,176,2088,116.1711653810253,4592.300078902929,19161206.257600375,1064511.4587555763,348513.4961430761,10359,20600
somajs_require,82.36363636363636,121.72814683165653,1.0931127188526764,11,457,58.97191652816136,671.8050706784431,23607604.658224013,1311533.5921235564,176915.7495844841,3518,5871
vue,118.33333333333333,121.8217549896,0.9952116115029842,6,392,58.036701597022784,382.79424085500307,27663386.083650302,1536854.7824250169,174110.10479106836,3141,5608
knockoutjs,233.0,113.56431043343915,1.2496085011185682,4,552,78.2667679526349,388.5067319988196,38330180.89554616,2129454.494197009,234800.3038579047,3809,5999
stapes_require,97.9,126.2711446388849,0.9541302110896174,10,658,90.3733136681596,647.7015029148951,42500017.40171222,2361112.0778729008,271119.9410044788,4806,6697
plastronjs,73.375,130.19145169672586,0.7259411622169355,8,439,55.58918208222353,411.20561813994294,48371193.65526362,2687288.5364035345,166767.54624667054,2407,681
knockoutjs_require,105.625,125.80374291327456,1.3900383093031707,8,512,70.5963287570183,505.8597459470303,51581215.63157849,2865623.0906432495,211788.98627105486,3248,2546
yui,161.66666666666666,114.99360077138249,0.7069572536963841,6,302,93.52143327419908,308.47177843862863,57463058.821703576,3192392.156761309,280564.29982259724,4735,12230
serenadejs,124.5,111.28164228200755,0.9376712328767123,4,399,61.87891109551898,581.1325084768481,58573142.56138018,3254063.475632232,185636.73328655693,2883,1143
closure,77.81818181818181,130.6631683999268,1.0572150072150073,11,496,72.69993979343495,521.70721756355,62432128.51447662,3468451.58413759,218099.81938030483,3036,1327
chaplin-brunch,494.5,108.86788004181363,1.2918673087212413,2,638,97.32759679147527,296.7997227997228,74941824.79627539,4163434.7109041885,291982.7903744258,5021,6738
epitome,132.77777777777777,118.91038339706665,0.908747964997965,9,893,113.3099466342965,524.7867610492445,78934548.48305474,4385252.693503042,339929.8399028895,5286,1156
todomvc.bundle.js,1103.0,114.42198116400735,1.529100529100529,1,756,98.21412760898106,290.14915503306395,85490238.41416612,4749457.6896758955,294642.3828269432,4644,7328
ampersand,127.66666666666667,131.1633293547593,0.5804820693709583,9,797,102.3914619257179,395.01802974651025,85778790.35255817,4765488.352919897,307174.38577715366,4997,7968
typescript-angular,136.8181818181818,142.8743453697788,0.7456590743916557,11,1039,135.6325667521891,362.5291734197937,86074314.49420182,4781906.36078899,406897.70025656716,6638,21169
angularjs_require,214.375,134.6391008917142,1.1075797197920627,8,1104,148.22404097090165,420.50183974930343,91092918.49718177,5060717.694287876,444672.1229127049,7392,22951
firebase-angular,187.22222222222223,129.64814151443548,1.2218209544793057,9,1194,152.3065168613197,517.3447129109653,91231339.65283099,5068407.758490612,456919.55058395903,7523,23838
