,Mean Cyclomatic Complexity,Mean Halstead Difficulty,Mean Halstead Effort,Mean Halstead Volume,Mean Maintainability Index,Mean Parameter Count,Sum Files,Sum Functions,Sum Logical SLOC,Sum Physical SLOC
emberjs,1.8571428571428572,7.541368273843872,6052.783693204101,475.0213950139911,143.87775271862958,0.07653061224489796,7,23,99,169
backbone,3.5,11.482994277836823,17412.571933136478,1021.0045462913364,131.3137313923245,0.24166666666666667,6,33,160,330
maria,2.909090909090909,10.584162408131359,12586.650689490698,776.0244878269328,139.33295196078822,0.2577200577200577,11,55,231,433
yui,3.5,14.70384365415094,45214.96533679031,2019.8690189794804,122.67904128126425,0.40694444444444444,4,34,197,415
spine,5.0,23.835684601924758,72925.04616685578,2723.670134819765,122.75685529786684,0.5134952766531714,3,42,221,268
knockback,5.0,21.906655844155843,36397.36952114437,1480.706895769522,128.40555855008623,0.5416666666666666,4,45,167,217
angularjs-perf,2.6,8.982196078431373,11776.451625090627,496.2248153947059,145.49297662997978,0.7333333333333333,5,22,75,139
canjs,4.666666666666667,18.01324662043399,29509.72446016362,1269.347952424326,131.76171806913317,0.75,3,25,88,178
jquery,19.0,53.35546875,338610.88118721225,6346.320051535716,121.68867465627085,0.76,1,25,124,183
angularjs,2.5,7.286527035056447,7562.466789734209,435.5656356877073,146.42970333426575,0.8472222222222222,6,25,75,154
knockoutjs,8.0,33.25,127251.7381735672,3827.11994506969,132.98415716652352,0.8928571428571429,1,28,81,169
vanillajs,9.166666666666666,28.40255565798769,88602.83516876813,2309.7585931528806,123.83668432156236,0.9400700553926361,6,69,319,767
closure,5.888888888888889,18.565183417992287,58337.25534755913,2088.9546819720736,135.24870349130381,0.9958553791887125,9,64,353,972
agilityjs,11.0,25.118167621030715,78107.88774366834,2872.609546879433,111.94412809052999,1.0178571428571428,2,30,139,218
flight,2.769230769230769,11.987030761486967,19376.171231612847,1027.7301229123536,129.68842016947409,1.1682445759368836,13,66,361,644
backbone_require,2.2857142857142856,10.230806567109015,14559.941995691572,910.0621568887855,130.54675796312793,1.2880952380952382,7,34,171,374
dojo,4.3125,16.702030645279823,25039.615562061517,1041.440513057914,131.4950267153915,1.4324652777777778,16,93,366,1124
